Species	countryCode	lon	lat
Iguanaiguana	AW	-69.971338	12.419082
Iguanaiguana	AW	-70.068862	12.558583
Iguanaiguana	AW	-70.029187	12.448502
Iguanaiguana	AW	-69.968338	12.521110
Iguanaiguana	AW	-70.061065	12.519602
Iguanaiguana	AW	-69.994494	12.512938
Iguanaiguana	AW	-70.046017	12.568726
Iguanaiguana	AW	-70.013654	12.494940
Iguanaiguana	AW	-70.027326	12.503118
Iguanaiguana	AW	-70.041914	12.522968
Iguanaiguana	AW	-70.035782	12.517698
Iguanaiguana	AW	-70.050690	12.559855
Iguanaiguana	AW	-70.052584	12.606032
Iguanaiguana	AW	-70.052262	12.606514
Iguanaiguana	AW	-70.056252	12.538142
Iguanaiguana	AW	-70.037620	12.518735
Iguanaiguana	AW	-70.043402	12.577913
Iguanaiguana	AW	-70.044225	12.580117
Iguanaiguana	AW	-69.891884	12.483381
Iguanaiguana	AW	-70.063206	12.539593
Iguanaiguana	AW	-69.971209	12.531105
Iguanaiguana	AW	-70.045219	12.575647
Iguanaiguana	AW	-70.043800	12.578120
Iguanaiguana	AW	-70.048276	12.562040
Iguanaiguana	AW	-70.062519	12.539481
Iguanaiguana	AW	-70.050149	12.563517
Iguanaiguana	AW	-70.053414	12.557779
Iguanaiguana	AW	-70.043442	12.578753
Iguanaiguana	AW	-69.906530	12.493039
Iguanaiguana	AW	-70.054262	12.556525
Iguanaiguana	AW	-70.043895	12.578231
Iguanaiguana	AW	-70.054695	12.551907
Iguanaiguana	AW	-70.045446	12.575466
Iguanaiguana	AW	-70.043922	12.578110
Iguanaiguana	AW	-69.906373	12.492879
Iguanaiguana	AW	-70.054482	12.531644
Iguanaiguana	AW	-70.054483	12.531626
Iguanaiguana	AW	-70.054439	12.531651
Iguanaiguana	AW	-70.054505	12.531617
Iguanaiguana	BO	-66.094028	-11.002582
Iguanaiguana	BO	-66.099801	-11.019848
Iguanaiguana	BO	-66.100643	-11.018633
Iguanaiguana	BO	-66.091036	-11.014530
Iguanaiguana	BO	-63.188293	-17.809058
Iguanaiguana	BQ	-68.238534	12.178361
Iguanaiguana	BQ	-68.262382	12.201890
Iguanaiguana	BQ	-68.262382	12.201890
Iguanaiguana	BQ	-68.262382	12.201890
Iguanaiguana	BQ	-68.262382	12.201890
Iguanaiguana	BQ	-68.338596	12.228733
Iguanaiguana	BQ	-68.262382	12.201890
Iguanaiguana	BQ	-68.343400	12.246856
Iguanaiguana	BQ	-68.381273	12.273400
Iguanaiguana	BQ	-68.381273	12.273400
Iguanaiguana	BQ	-68.381273	12.273400
Iguanaiguana	BQ	-68.321980	12.210215
Iguanaiguana	BQ	-68.299814	12.194086
Iguanaiguana	BQ	-63.229752	17.637724
Iguanaiguana	BQ	-63.235975	17.631814
Iguanaiguana	BQ	-63.228121	17.642611
Iguanaiguana	BQ	-68.272361	12.221984
Iguanaiguana	BQ	-63.225374	17.624279
Iguanaiguana	BQ	-63.229687	17.627356
Iguanaiguana	BQ	-68.334903	12.240079
Iguanaiguana	BQ	-68.271339	12.137054
Iguanaiguana	BQ	-68.398604	12.281050
Iguanaiguana	BQ	-68.282826	12.132380
Iguanaiguana	BQ	-68.339962	12.237925
Iguanaiguana	BQ	-68.272315	12.136551
Iguanaiguana	BQ	-68.262346	12.147520
Iguanaiguana	BQ	-68.273501	12.142867
Iguanaiguana	BQ	-68.284630	12.169625
Iguanaiguana	BQ	-63.229585	17.640104
Iguanaiguana	BQ	-68.391741	12.294972
Iguanaiguana	BQ	-63.229278	17.641363
Iguanaiguana	BQ	-68.291100	12.120870
Iguanaiguana	BQ	-63.224608	17.644836
Iguanaiguana	BR	-41.850000	-5.100000
Iguanaiguana	BR	-57.432597	-17.655786
Iguanaiguana	BR	-58.212500	-2.838060
Iguanaiguana	BR	-58.212500	-2.838060
Iguanaiguana	BR	-56.666667	-16.350000
Iguanaiguana	BR	-60.021731	-3.119027
Iguanaiguana	BR	-48.490180	-1.455755
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.595475	-17.204405
Iguanaiguana	BR	-56.553146	-16.803050
Iguanaiguana	BR	-56.812379	-19.841636
Iguanaiguana	BR	-38.516670	-12.983330
Iguanaiguana	BR	-54.066670	-2.016670
Iguanaiguana	BR	-38.655983	-12.885795
Iguanaiguana	BR	-35.200916	-5.779257
Iguanaiguana	BR	-69.941070	-4.249537
Iguanaiguana	BR	-57.433777	-17.654491
Iguanaiguana	BR	-35.234545	-5.629908
Iguanaiguana	BR	-56.626599	-16.266471
Iguanaiguana	BR	-57.436523	-17.654491
Iguanaiguana	BR	-60.675833	2.823510
Iguanaiguana	BR	-55.518890	-1.908330
Iguanaiguana	BR	-38.500000	-3.716670
Iguanaiguana	BR	-48.483330	-1.450000
Iguanaiguana	BR	-48.483330	-1.450000
Iguanaiguana	BR	-48.483330	-1.450000
Iguanaiguana	BR	-48.133300	-0.800000
Iguanaiguana	BR	-48.133300	-0.800000
Iguanaiguana	BR	-48.133300	-0.800000
Iguanaiguana	BR	-56.657181	-17.273285
Iguanaiguana	BR	-56.657181	-17.273285
Iguanaiguana	BR	-57.651550	-19.008169
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-54.700000	-2.433330
Iguanaiguana	BR	-60.021731	-3.119027
Iguanaiguana	BR	-44.366670	-15.483330
Iguanaiguana	BR	-56.774853	-17.364610
Iguanaiguana	BR	-62.250000	-9.133333
Iguanaiguana	BR	-64.700000	-3.366670
Iguanaiguana	BR	-64.700000	-3.366670
Iguanaiguana	BR	-60.022749	-3.262113
Iguanaiguana	BR	-56.872021	-16.756259
Iguanaiguana	BR	-56.872021	-16.756259
Iguanaiguana	BR	-59.823204	-3.703617
Iguanaiguana	BR	-56.605934	-17.191323
Iguanaiguana	BR	-56.398773	-16.539734
Iguanaiguana	BR	-60.032730	-3.261006
Iguanaiguana	BR	-60.044285	-3.262876
Iguanaiguana	BR	-35.067055	-6.223367
Iguanaiguana	BR	-40.516631	-2.795365
Iguanaiguana	BR	-56.772107	-17.359367
Iguanaiguana	BR	-56.772107	-17.359367
Iguanaiguana	BR	-56.395850	-16.540713
Iguanaiguana	BR	-57.037695	-19.571148
Iguanaiguana	BR	-56.731777	-16.623450
Iguanaiguana	BR	-57.020159	-19.578795
Iguanaiguana	BR	-57.020674	-19.575803
Iguanaiguana	BR	-56.712585	-17.285235
Iguanaiguana	BR	-41.833933	-2.829000
Iguanaiguana	BR	-60.653215	2.838522
Iguanaiguana	BR	-59.850811	-3.066802
Iguanaiguana	BR	-38.486481	-3.747070
Iguanaiguana	BR	-55.000000	-10.000000
Iguanaiguana	BR	-60.008064	-3.079087
Iguanaiguana	BR	-56.721512	-17.308016
Iguanaiguana	BR	-56.773609	-17.364155
Iguanaiguana	BR	-56.955700	-19.496693
Iguanaiguana	BR	-56.693962	-16.483166
Iguanaiguana	BR	-57.047798	-19.559628
Iguanaiguana	BR	-56.994366	-19.579887
Iguanaiguana	BR	-56.974068	-19.484476
Iguanaiguana	BR	-56.974068	-19.484476
Iguanaiguana	BR	-56.877068	-16.758413
Iguanaiguana	BR	-56.994366	-19.579887
Iguanaiguana	BR	-54.527103	-2.485666
Iguanaiguana	BR	-56.955700	-19.496693
Iguanaiguana	BR	-59.961555	-3.238153
Iguanaiguana	BR	-72.898594	-7.602719
Iguanaiguana	BR	-59.982737	-3.074344
Iguanaiguana	BR	-35.227731	-9.027939
Iguanaiguana	BR	-56.377700	-16.515526
Iguanaiguana	BR	-70.924087	-8.212747
Iguanaiguana	BR	-64.849664	-3.062525
Iguanaiguana	BR	-64.849664	-3.062525
Iguanaiguana	BR	-38.292215	-12.894720
Iguanaiguana	BR	-56.698800	-17.282600
Iguanaiguana	BR	-38.343493	-7.547271
Iguanaiguana	BR	-72.863776	-7.580329
Iguanaiguana	BR	-56.856926	-16.748342
Iguanaiguana	BR	-57.837420	-3.068156
Iguanaiguana	BR	-48.505658	-1.465774
Iguanaiguana	BR	-48.505711	-1.465540
Iguanaiguana	BR	-56.705765	-17.279040
Iguanaiguana	BR	-36.159281	-6.494910
Iguanaiguana	BR	-56.734089	-16.625438
Iguanaiguana	BR	-60.943516	-2.620794
Iguanaiguana	BR	-59.984686	-3.098296
Iguanaiguana	BR	-59.001217	-3.229190
Iguanaiguana	BR	-37.530026	-4.643077
Iguanaiguana	BR	-34.984353	-8.059825
Iguanaiguana	BR	-42.796710	-5.054270
Iguanaiguana	BR	-35.004494	-6.367115
Iguanaiguana	BR	-57.019829	-19.580481
Iguanaiguana	BR	-56.957539	-19.493521
Iguanaiguana	BR	-72.699582	-7.588777
Iguanaiguana	BR	-41.838604	-2.763439
Iguanaiguana	BR	-36.158563	-6.495006
Iguanaiguana	BR	-57.707243	-3.405537
Iguanaiguana	BR	-56.745430	-16.502950
Iguanaiguana	BR	-56.632358	-17.333345
Iguanaiguana	BR	-48.476658	-1.453792
Iguanaiguana	BR	-38.395603	-12.864613
Iguanaiguana	BR	-38.399728	-12.862145
Iguanaiguana	BR	-38.395031	-12.864972
Iguanaiguana	BR	-34.834058	-7.117866
Iguanaiguana	BR	-54.708729	-2.418833
Iguanaiguana	BR	-56.717717	-17.315830
Iguanaiguana	BR	-37.111844	-8.587803
Iguanaiguana	BR	-38.269762	-12.872108
Iguanaiguana	BR	-38.112117	-12.685387
Iguanaiguana	BR	-38.395950	-12.864603
Iguanaiguana	BR	-38.453087	-12.980915
Iguanaiguana	BZ	-88.310295	17.556328
Iguanaiguana	BZ	-88.401604	17.567768
Iguanaiguana	BZ	-87.947704	18.033796
Iguanaiguana	BZ	-87.946243	17.956264
Iguanaiguana	BZ	-87.533330	17.200000
Iguanaiguana	BZ	-87.533330	17.200000
Iguanaiguana	BZ	-88.231513	16.969561
Iguanaiguana	BZ	-88.553348	17.311426
Iguanaiguana	BZ	-88.227590	16.958442
Iguanaiguana	BZ	-88.655195	17.758071
Iguanaiguana	BZ	-88.542030	17.775993
Iguanaiguana	BZ	-88.542030	17.775993
Iguanaiguana	BZ	-88.557738	17.300380
Iguanaiguana	BZ	-88.371280	16.521160
Iguanaiguana	BZ	-88.346904	16.628432
Iguanaiguana	BZ	-88.371280	16.521160
Iguanaiguana	BZ	-89.046807	16.206103
Iguanaiguana	BZ	-88.535771	17.792905
Iguanaiguana	BZ	-88.541007	17.821425
Iguanaiguana	BZ	-88.538260	17.802385
Iguanaiguana	BZ	-88.533217	17.769136
Iguanaiguana	BZ	-87.947897	17.942695
Iguanaiguana	BZ	-88.552980	17.350024
Iguanaiguana	BZ	-88.537079	17.734754
Iguanaiguana	BZ	-88.927530	16.098213
Iguanaiguana	BZ	-89.068490	17.153560
Iguanaiguana	BZ	-89.072868	17.107657
Iguanaiguana	BZ	-89.072868	17.107657
Iguanaiguana	BZ	-88.542250	17.357915
Iguanaiguana	BZ	-89.072868	17.107698
Iguanaiguana	BZ	-89.072868	17.107698
Iguanaiguana	BZ	-89.072868	17.107698
Iguanaiguana	BZ	-89.125842	17.090740
Iguanaiguana	BZ	-88.629983	17.443200
Iguanaiguana	BZ	-88.330290	16.639685
Iguanaiguana	BZ	-89.072836	17.107770
Iguanaiguana	BZ	-89.070325	17.107201
Iguanaiguana	BZ	-88.330934	16.639445
Iguanaiguana	BZ	-88.330847	16.639368
Iguanaiguana	BZ	-88.552970	17.350006
Iguanaiguana	BZ	-88.859314	17.899901
Iguanaiguana	BZ	-88.529463	17.773851
Iguanaiguana	BZ	-88.293681	17.554803
Iguanaiguana	BZ	-89.070818	17.106893
Iguanaiguana	BZ	-88.291091	17.537778
Iguanaiguana	BZ	-88.319660	17.070829
Iguanaiguana	BZ	-88.529596	17.554093
Iguanaiguana	BZ	-88.473202	17.290178
Iguanaiguana	BZ	-88.850875	17.128642
Iguanaiguana	BZ	-88.564847	17.323424
Iguanaiguana	BZ	-88.542521	17.357659
Iguanaiguana	BZ	-88.653412	17.751583
Iguanaiguana	BZ	-87.963593	17.916947
Iguanaiguana	BZ	-88.554375	17.352233
Iguanaiguana	BZ	-88.378590	16.647886
Iguanaiguana	BZ	-88.536763	17.554563
Iguanaiguana	BZ	-88.536903	17.767579
Iguanaiguana	BZ	-88.523202	17.558653
Iguanaiguana	BZ	-88.523186	17.558670
Iguanaiguana	BZ	-88.226311	16.981805
Iguanaiguana	BZ	-88.368697	16.520022
Iguanaiguana	BZ	-88.927413	16.097551
Iguanaiguana	BZ	-89.059263	17.038082
Iguanaiguana	BZ	-88.779245	17.258498
Iguanaiguana	CO	-71.558359	4.962151
Iguanaiguana	CO	-72.405563	5.346555
Iguanaiguana	CO	-73.385366	9.045085
Iguanaiguana	CO	-73.385366	9.045085
Iguanaiguana	CO	-73.385366	9.045085
Iguanaiguana	CO	-73.385366	9.045085
Iguanaiguana	CO	-81.719392	12.550482
Iguanaiguana	CO	-75.459499	6.308955
Iguanaiguana	CO	-75.566995	10.441845
Iguanaiguana	CO	-75.493060	10.482480
Iguanaiguana	CO	-75.443167	10.521149
Iguanaiguana	CO	-75.484897	10.508181
Iguanaiguana	CO	-75.425418	10.531471
Iguanaiguana	CO	-75.453858	10.575123
Iguanaiguana	CO	-75.478537	10.501083
Iguanaiguana	CO	-75.560714	10.445016
Iguanaiguana	CO	-75.538569	10.539163
Iguanaiguana	CO	-74.017642	11.355601
Iguanaiguana	CO	-73.201957	3.969025
Iguanaiguana	CO	-74.065756	11.306441
Iguanaiguana	CO	-75.176190	9.697880
Iguanaiguana	CO	-75.176190	9.697880
Iguanaiguana	CO	-75.176190	9.697880
Iguanaiguana	CO	-72.492139	7.896339
Iguanaiguana	CO	-73.599767	2.639663
Iguanaiguana	CO	-75.136098	3.441171
Iguanaiguana	CO	-77.345060	8.639075
Iguanaiguana	CO	-74.805450	4.300725
Iguanaiguana	CO	-74.805450	4.300725
Iguanaiguana	CO	-74.619935	4.307339
Iguanaiguana	CO	-74.619935	4.307339
Iguanaiguana	CO	-74.619935	4.307339
Iguanaiguana	CO	-74.619935	4.307339
Iguanaiguana	CO	-76.406403	8.270234
Iguanaiguana	CO	-74.077148	5.314652
Iguanaiguana	CO	-74.735556	4.134167
Iguanaiguana	CO	-74.200287	11.218816
Iguanaiguana	CO	-75.564574	6.253041
Iguanaiguana	CO	-75.564574	6.253041
Iguanaiguana	CO	-75.564574	6.253041
Iguanaiguana	CO	-75.280900	2.934484
Iguanaiguana	CO	-74.211023	11.240355
Iguanaiguana	CO	-76.514953	3.510364
Iguanaiguana	CO	-75.473900	6.179432
Iguanaiguana	CO	-75.091100	8.677040
Iguanaiguana	CO	-76.761131	3.794373
Iguanaiguana	CO	-73.940000	2.541111
Iguanaiguana	CO	-73.940000	2.541111
Iguanaiguana	CO	-73.940000	2.541111
Iguanaiguana	CO	-73.940000	2.541111
Iguanaiguana	CO	-75.878535	8.750983
Iguanaiguana	CO	-74.087213	11.306307
Iguanaiguana	CO	-78.183985	2.964254
Iguanaiguana	CO	-73.917041	11.295568
Iguanaiguana	CO	-76.228600	3.564875
Iguanaiguana	CO	-76.228600	3.564875
Iguanaiguana	CO	-76.228600	3.564875
Iguanaiguana	CO	-75.042817	4.290970
Iguanaiguana	CO	-74.812901	5.867312
Iguanaiguana	CO	-76.417937	3.227414
Iguanaiguana	CO	-75.266111	3.141389
Iguanaiguana	CO	-75.183333	3.333333
Iguanaiguana	CO	-75.183333	3.333333
Iguanaiguana	CO	-75.183333	3.333333
Iguanaiguana	CO	-70.133333	-4.033333
Iguanaiguana	CO	-75.626394	6.167453
Iguanaiguana	CO	-75.614671	6.167568
Iguanaiguana	CO	-76.434975	3.507125
Iguanaiguana	CO	-73.473999	11.224844
Iguanaiguana	CO	-73.473999	11.224844
Iguanaiguana	CO	-78.180278	2.967500
Iguanaiguana	CO	-76.864543	8.084358
Iguanaiguana	CO	-74.205351	6.801842
Iguanaiguana	CO	-73.939330	11.293688
Iguanaiguana	CO	-72.400523	5.348903
Iguanaiguana	CO	-72.400523	5.348903
Iguanaiguana	CO	-72.400523	5.348903
Iguanaiguana	CO	-72.400523	5.348903
Iguanaiguana	CO	-72.400523	5.348903
Iguanaiguana	CO	-74.970833	7.390833
Iguanaiguana	CO	-78.718333	1.494722
Iguanaiguana	CO	-78.724167	1.533889
Iguanaiguana	CO	-76.048869	1.852980
Iguanaiguana	CO	-76.048869	1.852980
Iguanaiguana	CO	-75.872500	9.781944
Iguanaiguana	CO	-75.872500	9.781944
Iguanaiguana	CO	-78.769264	1.808546
Iguanaiguana	CO	-69.935907	-4.203165
Iguanaiguana	CO	-74.424496	9.240146
Iguanaiguana	CO	-74.424496	9.240146
Iguanaiguana	CO	-74.759186	7.838213
Iguanaiguana	CO	-75.555327	10.401961
Iguanaiguana	CO	-74.024987	11.281986
Iguanaiguana	CO	-74.033102	11.276934
Iguanaiguana	CO	-74.582562	5.973600
Iguanaiguana	CO	-74.582870	5.973990
Iguanaiguana	CO	-73.313828	4.570949
Iguanaiguana	CO	-71.340321	6.022902
Iguanaiguana	CO	-72.366690	5.283310
Iguanaiguana	CO	-74.067473	11.308797
Iguanaiguana	CO	-73.218118	10.417264
Iguanaiguana	CO	-74.282401	6.459955
Iguanaiguana	CO	-73.643086	6.845756
Iguanaiguana	CO	-74.766701	4.782836
Iguanaiguana	CO	-73.880000	2.293889
Iguanaiguana	CO	-73.880000	2.293889
Iguanaiguana	CO	-73.880000	2.293889
Iguanaiguana	CO	-73.880000	2.293889
Iguanaiguana	CO	-73.683816	6.820117
Iguanaiguana	CO	-71.743134	6.178157
Iguanaiguana	CO	-76.299665	3.901642
Iguanaiguana	CO	-75.681639	9.708042
Iguanaiguana	CO	-72.170736	12.211582
Iguanaiguana	CO	-76.547279	3.454515
Iguanaiguana	CO	-73.683261	6.826309
Iguanaiguana	CO	-71.372166	5.944731
Iguanaiguana	CO	-75.383377	10.354774
Iguanaiguana	CO	-75.384750	10.350046
Iguanaiguana	CO	-75.563580	6.269337
Iguanaiguana	CO	-74.224239	11.157255
Iguanaiguana	CO	-73.251944	9.944444
Iguanaiguana	CO	-73.251944	9.944444
Iguanaiguana	CO	-73.416944	8.308611
Iguanaiguana	CO	-75.659833	4.554611
Iguanaiguana	CO	-73.323651	11.213977
Iguanaiguana	CO	-75.723161	4.530222
Iguanaiguana	CO	-73.598190	8.280146
Iguanaiguana	CO	-73.519107	6.767681
Iguanaiguana	CO	-76.303023	3.894584
Iguanaiguana	CO	-76.790074	3.834965
Iguanaiguana	CO	-75.684824	10.142841
Iguanaiguana	CO	-75.581667	6.268889
Iguanaiguana	CO	-72.445959	5.498035
Iguanaiguana	CO	-73.633889	4.124722
Iguanaiguana	CO	-74.552778	9.327222
Iguanaiguana	CO	-74.552778	9.327222
Iguanaiguana	CO	-74.552778	9.327222
Iguanaiguana	CO	-75.437142	1.478739
Iguanaiguana	CO	-75.437142	1.478739
Iguanaiguana	CO	-75.437142	1.478739
Iguanaiguana	CO	-75.437142	1.478739
Iguanaiguana	CO	-75.437142	1.478739
Iguanaiguana	CO	-73.571320	4.204243
Iguanaiguana	CO	-75.581924	6.267438
Iguanaiguana	CO	-73.711950	6.831910
Iguanaiguana	CO	-73.568333	4.289722
Iguanaiguana	CO	-73.693611	3.694444
Iguanaiguana	CO	-67.491111	6.184167
Iguanaiguana	CO	-72.552778	5.174722
Iguanaiguana	CO	-67.491111	6.184167
Iguanaiguana	CO	-72.552778	5.174722
Iguanaiguana	CO	-75.279444	2.923056
Iguanaiguana	CO	-75.279444	2.923056
Iguanaiguana	CO	-76.629849	1.082515
Iguanaiguana	CO	-75.564073	6.270952
Iguanaiguana	CO	-73.682731	6.808032
Iguanaiguana	CO	-77.325765	3.975376
Iguanaiguana	CO	-76.737506	8.170790
Iguanaiguana	CO	-75.796387	9.284048
Iguanaiguana	CO	-74.116677	11.142812
Iguanaiguana	CO	-70.540556	4.178333
Iguanaiguana	CO	-70.540556	4.178333
Iguanaiguana	CO	-70.540556	4.178333
Iguanaiguana	CO	-73.462490	11.203690
Iguanaiguana	CO	-74.188074	11.267478
Iguanaiguana	CO	-75.404395	10.334153
Iguanaiguana	CO	-73.443874	4.257976
Iguanaiguana	CO	-75.571703	6.138304
Iguanaiguana	CO	-75.546766	10.422601
Iguanaiguana	CO	-73.489899	4.219812
Iguanaiguana	CO	-72.375833	5.516028
Iguanaiguana	CO	-73.120924	7.141875
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-74.500000	10.000000
Iguanaiguana	CO	-73.717136	6.806863
Iguanaiguana	CO	-72.827031	4.110105
Iguanaiguana	CO	-74.214679	11.066468
Iguanaiguana	CO	-75.563608	6.270513
Iguanaiguana	CO	-76.303070	3.894730
Iguanaiguana	CO	-76.546288	3.452888
Iguanaiguana	CO	-76.347687	3.865625
Iguanaiguana	CO	-73.690279	6.806447
Iguanaiguana	CO	-74.023444	11.280624
Iguanaiguana	CO	-73.760229	6.799626
Iguanaiguana	CO	-77.365723	8.629903
Iguanaiguana	CO	-73.098234	7.097437
Iguanaiguana	CO	-73.859269	7.072329
Iguanaiguana	CO	-77.261857	3.832586
Iguanaiguana	CO	-75.564117	6.270878
Iguanaiguana	CO	-75.564117	6.270878
Iguanaiguana	CO	-75.564117	6.270878
Iguanaiguana	CO	-75.569458	6.190104
Iguanaiguana	CO	-76.536963	3.331929
Iguanaiguana	CO	-75.819257	4.607690
Iguanaiguana	CO	-75.643577	6.167283
Iguanaiguana	CO	-75.604978	10.239991
Iguanaiguana	CO	-74.177355	11.228158
Iguanaiguana	CO	-74.177355	11.228158
Iguanaiguana	CO	-74.177355	11.228158
Iguanaiguana	CO	-74.186862	11.225837
Iguanaiguana	CO	-75.606402	10.208788
Iguanaiguana	CO	-75.654293	10.159892
Iguanaiguana	CO	-75.654293	10.159892
Iguanaiguana	CO	-75.563618	6.270695
Iguanaiguana	CO	-73.964338	11.329516
Iguanaiguana	CO	-75.578770	6.159061
Iguanaiguana	CO	-73.451374	6.899827
Iguanaiguana	CO	-75.564659	6.269607
Iguanaiguana	CO	-75.564659	6.269607
Iguanaiguana	CO	-75.563103	6.270983
Iguanaiguana	CO	-75.563774	6.270448
Iguanaiguana	CO	-81.684949	12.597186
Iguanaiguana	CO	-75.888453	8.755907
Iguanaiguana	CO	-73.764042	11.256981
Iguanaiguana	CO	-75.563475	6.270776
Iguanaiguana	CO	-75.547250	10.422387
Iguanaiguana	CO	-75.665498	6.173059
Iguanaiguana	CO	-75.562791	6.270863
Iguanaiguana	CO	-69.943341	-4.217768
Iguanaiguana	CO	-75.429099	10.354225
Iguanaiguana	CO	-73.569564	6.669327
Iguanaiguana	CO	-72.499420	7.909818
Iguanaiguana	CO	-75.581773	6.266910
Iguanaiguana	CO	-70.926390	5.184729
Iguanaiguana	CO	-76.023092	5.849292
Iguanaiguana	CO	-74.839748	5.806598
Iguanaiguana	CO	-75.570660	6.138251
Iguanaiguana	CO	-75.683699	9.705927
Iguanaiguana	CO	-73.657532	4.101730
Iguanaiguana	CO	-77.366087	3.938353
Iguanaiguana	CO	-75.546858	10.422661
Iguanaiguana	CO	-74.806981	11.004107
Iguanaiguana	CO	-74.804675	11.005199
Iguanaiguana	CO	-75.495610	10.539402
