spec,lon,lat
SPEC,-70.062519,12.539481
SPEC,-66.091036,-11.01453
SPEC,-63.188293,-17.809058
SPEC,-63.228121,17.642611
SPEC,-68.2911,12.12087
SPEC,-40.3683,-20.5105
SPEC,-58.2125,-2.83806
SPEC,-54.06667,-2.01667
SPEC,-35.234545,-5.629908
SPEC,-55.51889,-1.90833
SPEC,-48.1333,-0.8
SPEC,-44.36667,-15.48333
SPEC,-56.774853,-17.36461
SPEC,-62.25,-9.133333
SPEC,-59.823204,-3.703617
SPEC,-56.398773,-16.539734
SPEC,-35.067055,-6.223367
SPEC,-59.850811,-3.066802
SPEC,-55,-10
SPEC,-72.898594,-7.602719
SPEC,-70.924087,-8.212747
SPEC,-59.001217,-3.22919
SPEC,-42.79671,-5.05427
SPEC,-56.957539,-19.493521
SPEC,-41.838604,-2.763439
SPEC,-38.395603,-12.864613
SPEC,-34.834058,-7.117866
SPEC,-87.946243,17.956264
SPEC,-87.53333,17.2
SPEC,-88.557738,17.30038
SPEC,-88.533217,17.769136
SPEC,-88.92753,16.098213
SPEC,-89.072868,17.107657
SPEC,-88.226311,16.981805
SPEC,-88.368697,16.520022
SPEC,-71.558359,4.962151
SPEC,-75.443167,10.521149
SPEC,-73.201957,3.969025
SPEC,-75.17619,9.69788
SPEC,-72.492139,7.896339
SPEC,-75.136098,3.441171
SPEC,-77.34506,8.639075
SPEC,-74.80545,4.300725
SPEC,-76.406403,8.270234
SPEC,-75.0911,8.67704
SPEC,-76.761131,3.794373
SPEC,-73.94,2.541111
SPEC,-70.133333,-4.033333
SPEC,-78.180278,2.9675
SPEC,-74.205351,6.801842
SPEC,-74.970833,7.390833
SPEC,-78.724167,1.533889
SPEC,-74.424496,9.240146
SPEC,-74.759186,7.838213
SPEC,-74.58287,5.97399
SPEC,-73.313828,4.570949
SPEC,-73.218118,10.417264
SPEC,-74.766701,4.782836
SPEC,-71.743134,6.178157
SPEC,-76.299665,3.901642
SPEC,-75.681639,9.708042
SPEC,-72.170736,12.211582
SPEC,-73.251944,9.944444
SPEC,-73.59819,8.280146
SPEC,-75.437142,1.478739
SPEC,-72.552778,5.174722
SPEC,-76.629849,1.082515
SPEC,-70.540556,4.178333
SPEC,-74.5,10
SPEC,-76.536963,3.331929
SPEC,-73.764042,11.256981
SPEC,-73.569564,6.669327
SPEC,-70.92639,5.184729
SPEC,-73.657532,4.10173
SPEC,-74.804675,11.005199
SPEC,-73.840283,7.228687
SPEC,-69.935907,4.203165
SPEC,-75.743581,10.172889
SPEC,-75.762542,6.502086
SPEC,-75.029004,9.187239
SPEC,-74.608305,8.420902
SPEC,-73.701133,3.651292
SPEC,-73.131563,7.096625
SPEC,-77.262844,3.833835
SPEC,-76.746143,7.855556
SPEC,-75.889148,8.755803
SPEC,-75.758255,5.872162
SPEC,-67.67123,6.289647
SPEC,-81.688995,12.599862
SPEC,-75.296851,2.939794
SPEC,-74.661353,5.452892
SPEC,-74.76342,2.12682
SPEC,-74.231187,11.16788
SPEC,-72.134458,2.891724
SPEC,-70.523583,6.620683
SPEC,-76.111786,9.26145
SPEC,-73.946336,6.313413
SPEC,-71.997502,5.728191
SPEC,-68.630807,5.558632
