spec,lon,lat
SPEC,-70.048276,12.56204
SPEC,-66.091036,-11.01453
SPEC,-63.188293,-17.809058
SPEC,-68.398604,12.28105
SPEC,-63.229585,17.640104
SPEC,-41.85,-5.1
SPEC,-58.2125,-2.83806
SPEC,-54.06667,-2.01667
SPEC,-55.51889,-1.90833
SPEC,-48.1333,-0.8
SPEC,-44.36667,-15.48333
SPEC,-62.25,-9.133333
SPEC,-56.872021,-16.756259
SPEC,-59.823204,-3.703617
SPEC,-35.067055,-6.223367
SPEC,-55,-10
SPEC,-54.527103,-2.485666
SPEC,-56.3777,-16.515526
SPEC,-70.924087,-8.212747
SPEC,-38.343493,-7.547271
SPEC,-59.001217,-3.22919
SPEC,-34.984353,-8.059825
SPEC,-42.79671,-5.05427
SPEC,-56.957539,-19.493521
SPEC,-37.111844,-8.587803
SPEC,-87.53333,17.2
SPEC,-88.231513,16.969561
SPEC,-88.553348,17.311426
SPEC,-87.947897,17.942695
SPEC,-89.125842,17.09074
SPEC,-88.529463,17.773851
SPEC,-88.368697,16.520022
SPEC,-88.927413,16.097551
SPEC,-71.558359,4.962151
SPEC,-73.385366,9.045085
SPEC,-75.459499,6.308955
SPEC,-75.453858,10.575123
SPEC,-73.201957,3.969025
SPEC,-75.17619,9.69788
SPEC,-75.136098,3.441171
SPEC,-74.80545,4.300725
SPEC,-74.077148,5.314652
SPEC,-75.0911,8.67704
SPEC,-73.94,2.541111
SPEC,-78.180278,2.9675
SPEC,-74.205351,6.801842
SPEC,-74.970833,7.390833
SPEC,-78.718333,1.494722
SPEC,-76.048869,1.85298
SPEC,-74.424496,9.240146
SPEC,-74.759186,7.838213
SPEC,-73.313828,4.570949
SPEC,-71.340321,6.022902
SPEC,-73.218118,10.417264
SPEC,-74.766701,4.782836
SPEC,-75.681639,9.708042
SPEC,-72.170736,12.211582
SPEC,-74.224239,11.157255
SPEC,-73.251944,9.944444
SPEC,-73.416944,8.308611
SPEC,-75.723161,4.530222
SPEC,-76.790074,3.834965
SPEC,-75.437142,1.478739
SPEC,-73.693611,3.694444
SPEC,-67.491111,6.184167
SPEC,-72.552778,5.174722
SPEC,-76.629849,1.082515
SPEC,-77.325765,3.975376
SPEC,-70.540556,4.178333
SPEC,-74.5,10
SPEC,-76.30307,3.89473
SPEC,-81.684949,12.597186
SPEC,-73.764042,11.256981
SPEC,-73.569564,6.669327
